,index,year,month,categories,problem_type_1,count
0,0,2009,1,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
1,1,2009,1,CriminalBehaviour,Agression,27
2,2,2009,1,CriminalBehaviour,Break-in,94
3,3,2009,1,CriminalBehaviour,Corporal injury,2
4,4,2009,1,CriminalBehaviour,Crime apology,1
5,5,2009,1,CriminalBehaviour,Embezzlement,2
6,6,2009,1,CriminalBehaviour,Environmental crime,2
7,7,2009,1,CriminalBehaviour,Extortion,1
8,8,2009,1,CriminalBehaviour,False money,1
9,9,2009,1,CriminalBehaviour,Favouring prostitution,3
10,10,2009,1,CriminalBehaviour,Fishing in Prohibited Places,7
11,11,2009,1,CriminalBehaviour,Gunshot,3
12,12,2009,1,CriminalBehaviour,Illegal possession,3
13,13,2009,1,CriminalBehaviour,Illitcit Substance,66
14,14,2009,1,CriminalBehaviour,Maltreatment,1
15,15,2009,1,CriminalBehaviour,Misuse of transport card,6
16,16,2009,1,CriminalBehaviour,Obscene/libelous acts,10
17,17,2009,1,CriminalBehaviour,Physical/Verbal Agression,30
18,18,2009,1,CriminalBehaviour,Robbery,50
19,19,2009,1,CriminalBehaviour,Sexual harassment,1
20,20,2009,1,CriminalBehaviour,Supplying alcohol to minors,1
21,21,2009,1,CriminalBehaviour,Theft,41
22,22,2009,2,CriminalBehaviour,Abandonment/nonsupport of incompetent person,2
23,23,2009,2,CriminalBehaviour,Abuse of incapacitated persons,1
24,24,2009,2,CriminalBehaviour,Agression,24
25,25,2009,2,CriminalBehaviour,Break-in,74
26,26,2009,2,CriminalBehaviour,Environmental crime,1
27,27,2009,2,CriminalBehaviour,False money,1
28,28,2009,2,CriminalBehaviour,Fishing in Prohibited Places,6
29,29,2009,2,CriminalBehaviour,Gambling,1
30,30,2009,2,CriminalBehaviour,Gunshot,1
31,31,2009,2,CriminalBehaviour,Illegal possession,1
32,32,2009,2,CriminalBehaviour,Illitcit Substance,70
33,33,2009,2,CriminalBehaviour,Irregular Construction,1
34,34,2009,2,CriminalBehaviour,Murder,1
35,35,2009,2,CriminalBehaviour,Obscene/libelous acts,14
36,36,2009,2,CriminalBehaviour,Physical/Verbal Agression,16
37,37,2009,2,CriminalBehaviour,Robbery,51
38,38,2009,2,CriminalBehaviour,Sexual assault/rape,1
39,39,2009,2,CriminalBehaviour,Sexual harassment,2
40,40,2009,2,CriminalBehaviour,Theft,31
41,41,2009,3,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
42,42,2009,3,CriminalBehaviour,Agression,28
43,43,2009,3,CriminalBehaviour,Break-in,101
44,44,2009,3,CriminalBehaviour,Corporal injury,1
45,45,2009,3,CriminalBehaviour,Environmental crime,2
46,46,2009,3,CriminalBehaviour,False Identity,1
47,47,2009,3,CriminalBehaviour,Fishing in Prohibited Places,5
48,48,2009,3,CriminalBehaviour,Fraud (monetary),1
49,49,2009,3,CriminalBehaviour,Gunshot,2
50,50,2009,3,CriminalBehaviour,Illegal possession,5
51,51,2009,3,CriminalBehaviour,Illitcit Substance,51
52,52,2009,3,CriminalBehaviour,Irregular Construction,1
53,53,2009,3,CriminalBehaviour,Misuse of transport card,8
54,54,2009,3,CriminalBehaviour,Obscene/libelous acts,8
55,55,2009,3,CriminalBehaviour,Physical/Verbal Agression,19
56,56,2009,3,CriminalBehaviour,Prostitution,1
57,57,2009,3,CriminalBehaviour,Rape,1
58,58,2009,3,CriminalBehaviour,Robbery,52
59,59,2009,3,CriminalBehaviour,Sexual assault/rape,1
60,60,2009,3,CriminalBehaviour,Sexual harassment,2
61,61,2009,3,CriminalBehaviour,Theft,31
62,62,2009,4,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
63,63,2009,4,CriminalBehaviour,Agression,19
64,64,2009,4,CriminalBehaviour,Break-in,87
65,65,2009,4,CriminalBehaviour,Corporal injury,3
66,66,2009,4,CriminalBehaviour,Crime against individual liberty,1
67,67,2009,4,CriminalBehaviour,Environmental crime,2
68,68,2009,4,CriminalBehaviour,False money,2
69,69,2009,4,CriminalBehaviour,Fishing in Prohibited Places,29
70,70,2009,4,CriminalBehaviour,Gunshot,7
71,71,2009,4,CriminalBehaviour,Illegal possession,5
72,72,2009,4,CriminalBehaviour,Illitcit Substance,53
73,73,2009,4,CriminalBehaviour,Maltreatment,1
74,74,2009,4,CriminalBehaviour,Misuse of transport card,5
75,75,2009,4,CriminalBehaviour,Obscene/libelous acts,10
76,76,2009,4,CriminalBehaviour,Physical/Verbal Agression,27
77,77,2009,4,CriminalBehaviour,Rape,1
78,78,2009,4,CriminalBehaviour,Robbery,53
79,79,2009,4,CriminalBehaviour,Sexual harassment,1
80,80,2009,4,CriminalBehaviour,Theft,39
81,81,2009,5,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
82,82,2009,5,CriminalBehaviour,Agression,24
83,83,2009,5,CriminalBehaviour,Break-in,73
84,84,2009,5,CriminalBehaviour,Child grooming/enticement,1
85,85,2009,5,CriminalBehaviour,Corporal injury,2
86,86,2009,5,CriminalBehaviour,Environmental crime,3
87,87,2009,5,CriminalBehaviour,False money,2
88,88,2009,5,CriminalBehaviour,Favouring prostitution,1
89,89,2009,5,CriminalBehaviour,Fishing in Prohibited Places,10
90,90,2009,5,CriminalBehaviour,Fraud (monetary),1
91,91,2009,5,CriminalBehaviour,Gunshot,4
92,92,2009,5,CriminalBehaviour,Illegal possession,3
93,93,2009,5,CriminalBehaviour,Illitcit Substance,73
94,94,2009,5,CriminalBehaviour,Irregular Construction,1
95,95,2009,5,CriminalBehaviour,Kidnapping and imprisonment,1
96,96,2009,5,CriminalBehaviour,Misuse of transport card,8
97,97,2009,5,CriminalBehaviour,Murder,1
98,98,2009,5,CriminalBehaviour,Obscene/libelous acts,5
99,99,2009,5,CriminalBehaviour,Physical/Verbal Agression,16
100,100,2009,5,CriminalBehaviour,Possession of explosive device,1
101,101,2009,5,CriminalBehaviour,Robbery,44
102,102,2009,5,CriminalBehaviour,Sexual assault/rape,1
103,103,2009,5,CriminalBehaviour,Sexual harassment,3
104,104,2009,5,CriminalBehaviour,Theft,34
105,105,2009,6,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
106,106,2009,6,CriminalBehaviour,Agression,28
107,107,2009,6,CriminalBehaviour,Break-in,93
108,108,2009,6,CriminalBehaviour,Corporal injury,2
109,109,2009,6,CriminalBehaviour,Fishing in Prohibited Places,1
110,110,2009,6,CriminalBehaviour,Fraud (monetary),1
111,111,2009,6,CriminalBehaviour,Gang-sacking/pillaging,1
112,112,2009,6,CriminalBehaviour,Gunshot,2
113,113,2009,6,CriminalBehaviour,Illegal possession,2
114,114,2009,6,CriminalBehaviour,Illitcit Substance,36
115,115,2009,6,CriminalBehaviour,Irregular Construction,1
116,116,2009,6,CriminalBehaviour,"Loss, concealment or destruction of books or documents",1
117,117,2009,6,CriminalBehaviour,Misuse of transport card,5
118,118,2009,6,CriminalBehaviour,Obscene/libelous acts,12
119,119,2009,6,CriminalBehaviour,Physical/Verbal Agression,22
120,120,2009,6,CriminalBehaviour,Possession of explosive device,1
121,121,2009,6,CriminalBehaviour,Robbery,46
122,122,2009,6,CriminalBehaviour,Theft,24
123,123,2009,7,CriminalBehaviour,Abandonment/nonsupport of incompetent person,3
124,124,2009,7,CriminalBehaviour,Abuse of incapacitated persons,1
125,125,2009,7,CriminalBehaviour,Agression,20
126,126,2009,7,CriminalBehaviour,Break-in,69
127,127,2009,7,CriminalBehaviour,Corporal injury,4
128,128,2009,7,CriminalBehaviour,Environmental crime,1
129,129,2009,7,CriminalBehaviour,Extortion,1
130,130,2009,7,CriminalBehaviour,False Identity,1
131,131,2009,7,CriminalBehaviour,False money,1
132,132,2009,7,CriminalBehaviour,Fishing in Prohibited Places,7
133,133,2009,7,CriminalBehaviour,Fraud (monetary),1
134,134,2009,7,CriminalBehaviour,Gang-sacking/pillaging,1
135,135,2009,7,CriminalBehaviour,Gunshot,4
136,136,2009,7,CriminalBehaviour,Illegal possession,1
137,137,2009,7,CriminalBehaviour,Illitcit Substance,34
138,138,2009,7,CriminalBehaviour,Irregular Construction,1
139,139,2009,7,CriminalBehaviour,Irregular landfill,1
140,140,2009,7,CriminalBehaviour,Maltreatment,1
141,141,2009,7,CriminalBehaviour,Misuse of transport card,4
142,142,2009,7,CriminalBehaviour,Murder,1
143,143,2009,7,CriminalBehaviour,Obscene/libelous acts,12
144,144,2009,7,CriminalBehaviour,Physical/Verbal Agression,17
145,145,2009,7,CriminalBehaviour,Possession of explosive device,2
146,146,2009,7,CriminalBehaviour,Rape,1
147,147,2009,7,CriminalBehaviour,Robbery,58
148,148,2009,7,CriminalBehaviour,Sexual assault/rape,2
149,149,2009,7,CriminalBehaviour,Sexual harassment,1
150,150,2009,7,CriminalBehaviour,Theft,34
151,151,2009,8,CriminalBehaviour,Agression,29
152,152,2009,8,CriminalBehaviour,Break-in,93
153,153,2009,8,CriminalBehaviour,Corporal injury,2
154,154,2009,8,CriminalBehaviour,Crime against individual liberty,1
155,155,2009,8,CriminalBehaviour,Fishing in Prohibited Places,12
156,156,2009,8,CriminalBehaviour,Gunshot,3
157,157,2009,8,CriminalBehaviour,Illegal possession,3
158,158,2009,8,CriminalBehaviour,Illitcit Substance,45
159,159,2009,8,CriminalBehaviour,Irregular Construction,1
160,160,2009,8,CriminalBehaviour,Misuse of transport card,2
161,161,2009,8,CriminalBehaviour,Obscene/libelous acts,14
162,162,2009,8,CriminalBehaviour,Physical/Verbal Agression,17
163,163,2009,8,CriminalBehaviour,Robbery,35
164,164,2009,8,CriminalBehaviour,Sexual assault/rape,1
165,165,2009,8,CriminalBehaviour,Theft,16
166,166,2009,9,CriminalBehaviour,Agression,20
167,167,2009,9,CriminalBehaviour,Break-in,75
168,168,2009,9,CriminalBehaviour,Corporal injury,1
169,169,2009,9,CriminalBehaviour,Crime against individual liberty,1
170,170,2009,9,CriminalBehaviour,Environmental crime,1
171,171,2009,9,CriminalBehaviour,False Identity,1
172,172,2009,9,CriminalBehaviour,Fishing in Prohibited Places,13
173,173,2009,9,CriminalBehaviour,Gunshot,5
174,174,2009,9,CriminalBehaviour,Illegal possession,2
175,175,2009,9,CriminalBehaviour,Illitcit Substance,55
176,176,2009,9,CriminalBehaviour,Irregular Construction,1
177,177,2009,9,CriminalBehaviour,Maltreatment,1
178,178,2009,9,CriminalBehaviour,Misuse of transport card,4
179,179,2009,9,CriminalBehaviour,Murder,1
180,180,2009,9,CriminalBehaviour,Obscene/libelous acts,8
181,181,2009,9,CriminalBehaviour,Physical/Verbal Agression,22
182,182,2009,9,CriminalBehaviour,Robbery,39
183,183,2009,9,CriminalBehaviour,Sexual assault/rape,1
184,184,2009,9,CriminalBehaviour,Sexual harassment,1
185,185,2009,9,CriminalBehaviour,Theft,28
186,186,2009,10,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
187,187,2009,10,CriminalBehaviour,Agression,27
188,188,2009,10,CriminalBehaviour,Break-in,67
189,189,2009,10,CriminalBehaviour,Corporal injury,4
190,190,2009,10,CriminalBehaviour,Environmental crime,2
191,191,2009,10,CriminalBehaviour,Fishing in Prohibited Places,9
192,192,2009,10,CriminalBehaviour,Gunshot,7
193,193,2009,10,CriminalBehaviour,Illegal possession,3
194,194,2009,10,CriminalBehaviour,Illitcit Substance,49
195,195,2009,10,CriminalBehaviour,Irregular Construction,2
196,196,2009,10,CriminalBehaviour,Maltreatment,1
197,197,2009,10,CriminalBehaviour,Misuse of transport card,4
198,198,2009,10,CriminalBehaviour,Murder,3
199,199,2009,10,CriminalBehaviour,Obscene/libelous acts,9
200,200,2009,10,CriminalBehaviour,Physical/Verbal Agression,22
201,201,2009,10,CriminalBehaviour,Robbery,39
202,202,2009,10,CriminalBehaviour,Smuggling/contraband,1
203,203,2009,10,CriminalBehaviour,Theft,27
204,204,2009,10,CriminalBehaviour,Violation of graves,1
205,205,2009,10,CriminalBehaviour,"Wearing a uniform, or badge of a public function that he does not exercise",1
206,206,2009,11,CriminalBehaviour,Abandonment/nonsupport of incompetent person,2
207,207,2009,11,CriminalBehaviour,Agression,25
208,208,2009,11,CriminalBehaviour,Break-in,52
209,209,2009,11,CriminalBehaviour,Corporal injury,4
210,210,2009,11,CriminalBehaviour,Environmental crime,1
211,211,2009,11,CriminalBehaviour,Fishing in Prohibited Places,6
212,212,2009,11,CriminalBehaviour,Fraud (monetary),1
213,213,2009,11,CriminalBehaviour,Gunshot,4
214,214,2009,11,CriminalBehaviour,Illegal possession,4
215,215,2009,11,CriminalBehaviour,Illitcit Substance,57
216,216,2009,11,CriminalBehaviour,Irregular Construction,1
217,217,2009,11,CriminalBehaviour,Kidnapping and imprisonment,1
218,218,2009,11,CriminalBehaviour,Misuse of transport card,6
219,219,2009,11,CriminalBehaviour,Murder,2
220,220,2009,11,CriminalBehaviour,Obscene/libelous acts,12
221,221,2009,11,CriminalBehaviour,Physical/Verbal Agression,31
222,222,2009,11,CriminalBehaviour,Robbery,29
223,223,2009,11,CriminalBehaviour,Sexual harassment,1
224,224,2009,11,CriminalBehaviour,Theft,36
225,225,2009,12,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
226,226,2009,12,CriminalBehaviour,Agression,26
227,227,2009,12,CriminalBehaviour,Break-in,46
228,228,2009,12,CriminalBehaviour,Child grooming/enticement,1
229,229,2009,12,CriminalBehaviour,Embezzlement,1
230,230,2009,12,CriminalBehaviour,Environmental crime,1
231,231,2009,12,CriminalBehaviour,False money,2
232,232,2009,12,CriminalBehaviour,Fishing in Prohibited Places,3
233,233,2009,12,CriminalBehaviour,Gambling,1
234,234,2009,12,CriminalBehaviour,Gunshot,5
235,235,2009,12,CriminalBehaviour,Illegal possession,6
236,236,2009,12,CriminalBehaviour,Illitcit Substance,63
237,237,2009,12,CriminalBehaviour,Irregular Construction,1
238,238,2009,12,CriminalBehaviour,Kidnapping and imprisonment,1
239,239,2009,12,CriminalBehaviour,Misuse of transport card,2
240,240,2009,12,CriminalBehaviour,Obscene/libelous acts,7
241,241,2009,12,CriminalBehaviour,Physical/Verbal Agression,33
242,242,2009,12,CriminalBehaviour,Robbery,35
243,243,2009,12,CriminalBehaviour,Sexual harassment,2
244,244,2009,12,CriminalBehaviour,Theft,32
245,245,2010,1,CriminalBehaviour,Agression,20
246,246,2010,1,CriminalBehaviour,Break-in,67
247,247,2010,1,CriminalBehaviour,Embezzlement,1
248,248,2010,1,CriminalBehaviour,Exploitation of minors,1
249,249,2010,1,CriminalBehaviour,Fishing in Prohibited Places,4
250,250,2010,1,CriminalBehaviour,Gang-sacking/pillaging,2
251,251,2010,1,CriminalBehaviour,Gunshot,1
252,252,2010,1,CriminalBehaviour,Illegal possession,3
253,253,2010,1,CriminalBehaviour,Illitcit Substance,46
254,254,2010,1,CriminalBehaviour,Kidnapping and imprisonment,1
255,255,2010,1,CriminalBehaviour,Misuse of transport card,4
256,256,2010,1,CriminalBehaviour,Murder,2
257,257,2010,1,CriminalBehaviour,Obscene/libelous acts,9
258,258,2010,1,CriminalBehaviour,Physical/Verbal Agression,22
259,259,2010,1,CriminalBehaviour,Robbery,35
260,260,2010,1,CriminalBehaviour,Theft,27
261,261,2010,2,CriminalBehaviour,Agression,22
262,262,2010,2,CriminalBehaviour,Break-in,30
263,263,2010,2,CriminalBehaviour,False money,1
264,264,2010,2,CriminalBehaviour,Favouring prostitution,1
265,265,2010,2,CriminalBehaviour,Fishing in Prohibited Places,6
266,266,2010,2,CriminalBehaviour,Gunshot,3
267,267,2010,2,CriminalBehaviour,Illegal possession,6
268,268,2010,2,CriminalBehaviour,Illitcit Substance,27
