,time,hour_rads,regional_name,categories,problem_type_1,count,nProb_km2,avg_monthlyIncome,pop_km2,people_house
0,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Agression,9,0.20089286056404218,870.0,2775.0,2.65
1,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Break-in,65,1.4508928818514157,870.0,2775.0,2.65
2,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Corporal injury,13,0.29017857637028316,870.0,2775.0,2.65
3,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Environmental crime,1,0.02232142895156024,870.0,2775.0,2.65
4,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Gang-sacking/pillaging,1,0.02232142895156024,870.0,2775.0,2.65
5,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Gunshot,10,0.2232142895156024,870.0,2775.0,2.65
6,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Illegal possession,1,0.02232142895156024,870.0,2775.0,2.65
7,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Illitcit Substance,23,0.5133928658858855,870.0,2775.0,2.65
8,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Kidnapping and imprisonment,1,0.02232142895156024,870.0,2775.0,2.65
9,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Murder,2,0.04464285790312048,870.0,2775.0,2.65
10,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Non-compliance with law 15799/2021 COVID-19,2,0.04464285790312048,870.0,2775.0,2.65
11,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Obscene/libelous acts,1,0.02232142895156024,870.0,2775.0,2.65
12,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Physical/Verbal Agression,24,0.5357142948374458,870.0,2775.0,2.65
13,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Racism,1,0.02232142895156024,870.0,2775.0,2.65
14,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Robbery,31,0.6919642974983675,870.0,2775.0,2.65
15,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Theft,15,0.3348214342734036,870.0,2775.0,2.65
16,0,1.5707963267948966,BAIRRO NOVO,CriminalBehaviour,Violation of Protective Measures for women - Lei Maria da Penha,25,0.558035723789006,870.0,2775.0,2.65
17,0,1.5707963267948966,BOA VISTA,CriminalBehaviour,Agression,11,0.1768488724288588,1612.0,3630.0,3.42
18,0,1.5707963267948966,BOA VISTA,CriminalBehaviour,Break-in,45,0.7234726599362405,1612.0,3630.0,3.42
19,0,1.5707963267948966,BOA VISTA,CriminalBehaviour,Corporal injury,5,0.08038585110402673,1612.0,3630.0,3.42
20,0,1.5707963267948966,BOA VISTA,CriminalBehaviour,Environmental crime,2,0.032154340441610696,1612.0,3630.0,3.42
