,index,year,month,week_day,regional_name,categories,problem_type_1,count
0,0,2009,1,1-Sunday,BAIRRO NOVO,CriminalBehaviour,Break-in,2
1,1,2009,1,1-Sunday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
2,2,2009,1,1-Sunday,BAIRRO NOVO,CriminalBehaviour,Theft,2
3,3,2009,1,1-Sunday,BOA VISTA,CriminalBehaviour,Break-in,5
4,4,2009,1,1-Sunday,BOA VISTA,CriminalBehaviour,Obscene/libelous acts,1
5,5,2009,1,1-Sunday,BOA VISTA,CriminalBehaviour,Physical/Verbal Agression,4
6,6,2009,1,1-Sunday,BOQUEIRÃO,CriminalBehaviour,Break-in,2
7,7,2009,1,1-Sunday,BOQUEIRÃO,CriminalBehaviour,Robbery,1
8,8,2009,1,1-Sunday,CAJURU,CriminalBehaviour,Break-in,1
9,9,2009,1,1-Sunday,CAJURU,CriminalBehaviour,Physical/Verbal Agression,1
10,10,2009,1,1-Sunday,CIC,CriminalBehaviour,Break-in,2
11,11,2009,1,1-Sunday,CIC,CriminalBehaviour,Robbery,1
12,12,2009,1,1-Sunday,CIC,CriminalBehaviour,Theft,1
13,13,2009,1,1-Sunday,MATRIZ,CriminalBehaviour,Agression,2
14,14,2009,1,1-Sunday,MATRIZ,CriminalBehaviour,Break-in,3
15,15,2009,1,1-Sunday,MATRIZ,CriminalBehaviour,Environmental crime,1
16,16,2009,1,1-Sunday,MATRIZ,CriminalBehaviour,Illitcit Substance,6
17,17,2009,1,1-Sunday,MATRIZ,CriminalBehaviour,Robbery,3
18,18,2009,1,1-Sunday,MATRIZ,CriminalBehaviour,Theft,3
19,19,2009,1,1-Sunday,PINHEIRINHO,CriminalBehaviour,Break-in,2
20,20,2009,1,1-Sunday,PINHEIRINHO,CriminalBehaviour,Physical/Verbal Agression,1
21,21,2009,1,1-Sunday,PORTÃO,CriminalBehaviour,Agression,2
22,22,2009,1,1-Sunday,PORTÃO,CriminalBehaviour,Illegal possession,1
23,23,2009,1,1-Sunday,PORTÃO,CriminalBehaviour,Illitcit Substance,1
24,24,2009,1,1-Sunday,PORTÃO,CriminalBehaviour,Robbery,3
25,25,2009,1,1-Sunday,PORTÃO,CriminalBehaviour,Theft,1
26,26,2009,1,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Agression,2
27,27,2009,1,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Break-in,2
28,28,2009,1,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Environmental crime,1
29,29,2009,1,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Gunshot,1
30,30,2009,1,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Illitcit Substance,1
31,31,2009,1,1-Sunday,SANTA FELICIDADE,CriminalBehaviour,Robbery,1
32,32,2009,1,2-Monday,BAIRRO NOVO,CriminalBehaviour,Break-in,1
33,33,2009,1,2-Monday,BAIRRO NOVO,CriminalBehaviour,Robbery,1
34,34,2009,1,2-Monday,BAIRRO NOVO,CriminalBehaviour,Theft,1
35,35,2009,1,2-Monday,BOA VISTA,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
36,36,2009,1,2-Monday,BOA VISTA,CriminalBehaviour,Break-in,1
37,37,2009,1,2-Monday,BOA VISTA,CriminalBehaviour,Illitcit Substance,3
38,38,2009,1,2-Monday,BOA VISTA,CriminalBehaviour,Physical/Verbal Agression,1
39,39,2009,1,2-Monday,BOA VISTA,CriminalBehaviour,Robbery,2
40,40,2009,1,2-Monday,BOQUEIRÃO,CriminalBehaviour,Agression,2
41,41,2009,1,2-Monday,BOQUEIRÃO,CriminalBehaviour,Break-in,2
42,42,2009,1,2-Monday,BOQUEIRÃO,CriminalBehaviour,Obscene/libelous acts,2
43,43,2009,1,2-Monday,BOQUEIRÃO,CriminalBehaviour,Robbery,1
44,44,2009,1,2-Monday,BOQUEIRÃO,CriminalBehaviour,Theft,2
45,45,2009,1,2-Monday,CAJURU,CriminalBehaviour,Break-in,1
46,46,2009,1,2-Monday,CAJURU,CriminalBehaviour,Illitcit Substance,1
47,47,2009,1,2-Monday,CAJURU,CriminalBehaviour,Robbery,1
48,48,2009,1,2-Monday,CAJURU,CriminalBehaviour,Theft,1
49,49,2009,1,2-Monday,CIC,CriminalBehaviour,Break-in,2
50,50,2009,1,2-Monday,CIC,CriminalBehaviour,Misuse of transport card,1
51,51,2009,1,2-Monday,CIC,CriminalBehaviour,Robbery,1
52,52,2009,1,2-Monday,CIC,CriminalBehaviour,Theft,1
53,53,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Agression,1
54,54,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Corporal injury,1
55,55,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Extortion,1
56,56,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Illegal possession,2
57,57,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Illitcit Substance,7
58,58,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Obscene/libelous acts,1
59,59,2009,1,2-Monday,MATRIZ,CriminalBehaviour,Robbery,2
