,index,year,month,week_day,weekDay_rads,categories,problem_type_1,count
0,0,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Agression,6
1,1,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Break-in,19
2,2,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Environmental crime,2
3,3,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Gunshot,1
4,4,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Illegal possession,1
5,5,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Illitcit Substance,8
6,6,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Obscene/libelous acts,1
7,7,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Physical/Verbal Agression,6
8,8,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Robbery,10
9,9,2009,1,1-Sunday,2.4683942278205517,CriminalBehaviour,Theft,7
10,10,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Abandonment/nonsupport of incompetent person,1
11,11,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Agression,3
12,12,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Break-in,9
13,13,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Corporal injury,1
14,14,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Extortion,1
15,15,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Fishing in Prohibited Places,2
16,16,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Gunshot,1
17,17,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Illegal possession,2
18,18,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Illitcit Substance,12
19,19,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Misuse of transport card,1
20,20,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Obscene/libelous acts,4
21,21,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Physical/Verbal Agression,1
22,22,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Robbery,11
23,23,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Sexual harassment,1
24,24,2009,1,2-Monday,3.365992128846207,CriminalBehaviour,Theft,10
25,25,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Agression,1
26,26,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Break-in,13
27,27,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Embezzlement,1
28,28,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Favouring prostitution,1
29,29,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Fishing in Prohibited Places,1
30,30,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Illitcit Substance,10
31,31,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Maltreatment,1
32,32,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Obscene/libelous acts,2
33,33,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Physical/Verbal Agression,2
34,34,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Robbery,6
35,35,2009,1,3-Tuesday,4.263590029871862,CriminalBehaviour,Theft,3
36,36,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Agression,2
37,37,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Break-in,8
38,38,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Crime apology,1
39,39,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Fishing in Prohibited Places,1
40,40,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Illitcit Substance,10
41,41,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Misuse of transport card,1
42,42,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Obscene/libelous acts,1
43,43,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Physical/Verbal Agression,4
44,44,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Robbery,7
45,45,2009,1,4-Wednesday,5.161187930897517,CriminalBehaviour,Theft,12
46,46,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Agression,4
47,47,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Break-in,18
48,48,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Corporal injury,1
49,49,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Favouring prostitution,1
50,50,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Gunshot,1
51,51,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Illitcit Substance,7
52,52,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Misuse of transport card,1
53,53,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Obscene/libelous acts,1
54,54,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Physical/Verbal Agression,2
55,55,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Robbery,6
56,56,2009,1,5-Thursday,6.058785831923172,CriminalBehaviour,Theft,3
57,57,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Break-in,13
58,58,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Favouring prostitution,1
59,59,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Illitcit Substance,13
60,60,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Misuse of transport card,1
61,61,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Obscene/libelous acts,1
62,62,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Physical/Verbal Agression,7
63,63,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Robbery,6
64,64,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Supplying alcohol to minors,1
65,65,2009,1,6-Friday,0.6731984257692414,CriminalBehaviour,Theft,5
