neighbourhood,area_km2,n_men,n_women,n_people,n_houses,avg_monthlyIncome,regional_name
Abranches,"4,32",5 463,5 702,11 165,3 154,"1 009,67",BOA VISTA
Água Verde,"4,76",22 546,27 320,49 866,17 045,"3 332,57",PORTÃO
Ahú,"1,84",5 117,6 031,11 148,3 608,"2 827,81",MATRIZ
Alto Boqueirão,"12,11",24 824,26 331,51 155,14 301,"1 110,63",BOQUEIRÃO
Alto da Glória,"0,88",2 513,3 075,5 588,2 125,"3 263,47",MATRIZ
Alto da Rua XV,"1,50",3 835,4 848,8 683,3 084,"2 612,08",MATRIZ
Atuba,"4,27",6 156,6 476,12 632,3 627,"1 211,60",BOA VISTA
Augusta,"8,84",1 802,1 815,3 617,995,"619,54",CIC
Bacacheri,"6,98",10 762,12 344,23 106,7 107,"3 029,00",BOA VISTA
Bairro Alto,"7,02",20 244,21 789,42 033,12 071,"1 211,60",BOA VISTA
Barreirinha,"3,73",8 079,8 942,17 021,5 024,"1 272,18",BOA VISTA
Batel,"1,76",5 126,6 652,11 778,3 938,"5 120,73",MATRIZ
Bigorrilho,"3,50",12 359,14 768,27 127,9 937,"3 792,68",MATRIZ
Boa Vista,"5,14",13 677,15 714,29 391,9 212,"1 817,40",BOA VISTA
Bom Retiro,"1,94",2 586,3 047,5 633,1 780,"2 132,75",MATRIZ
Boqueirão,"14,80",33 158,35 337,68 495,19 750,"1 413,53",BOQUEIRÃO
Butiatuvinha,"10,58",5 311,5 448,10 759,2 948,"1 135,70",SANTA FELICIDADE
Cabral,"2,04",5 815,5 905,11 720,3 774,"3 914,15",MATRIZ
Cachoeira,"3,07",3 811,3 927,7 738,2 091,"908,70",BOA VISTA
Cajuru,"11,55",43 727,46 057,89 784,14 301,"793,75",CAJURU
Campina do Siqueira,"1,69",3 379,3 729,7 108,2 238,"1 903,78",SANTA FELICIDADE
Campo Comprido,"8,55",10 264,11 374,21 638,6 649,"1 216,71",PORTÃO
Campo Comprido,"8,55",10 264,11 374,21 638,6 649,"1 216,71",SANTA FELICIDADE
Campo de Santana,"21,57",3 696,3 639,7 335,1 961,"564,95",TATUQUARA
Capão da Imbuia,"3,16",9 933,11 043,20 976,6 209,"1 147,78",CAJURU
Capão Raso,"5,06",16 586,17 790,34 376,10 320,"977,19",PINHEIRINHO
Cascatinha,"2,57",994,1 067,2 061,586,"2 198,43",SANTA FELICIDADE
